IDEA-001  Map System | multi scale simulation mapping | System | All Eras
IDEA-633  Tangier Orbital Logistics Hub | first Mars orbital cargo logistics station built by ENU–PAU cooperation | Infrastructure | Race for Sol
IDEA-634  Tangier Orbital Propellant Depot | first Mars orbital propellant storage and transfer installation | Infrastructure | Race for Sol

IDEA-632  Lagrange I Cargo Terminal | first orbital cargo terminal at Earth–Sun L1 enabling interplanetary freight logistics | Infrastructure | Race for Sol
IDEA-633  Tangier Orbital Logistics Hub | first Mars orbital cargo logistics station built through ENU–PAU cooperation | Infrastructure | Race for Sol
IDEA-634  Tangier Orbital Propellant Depot | first Mars orbital propellant storage and transfer installation | Infrastructure | Race for Sol
IDEA-635  Early GGO Consolidation Phase | transitional political phase following formation of the Global Governance Organization | Historical Period | GGO Hegemony Period
IDEA-636  Apparent Plural Governance Structure | early GGO political structure where multiple actors retained nominal autonomy | Political System | GGO Hegemony Period
IDEA-637  CoG Construction City | temporary industrial settlement supporting early CoG construction | Infrastructure | GGO Hegemony Period
IDEA-638  Samia Bashir | Sudanese PAU industrial systems engineer and CoG construction director | Historical Figure | GGO Hegemony Period

IDEA-639  Terran Rewilding Initiative | large-scale ecological restoration and biosphere engineering program on Earth | Environmental Program | Race for Sol
IDEA-640  Extraterrestrial Wildlife Domes | sealed biosphere research habitats on Mars and Luna | Terraforming Infrastructure | Race for Sol
IDEA-641  Terran Biosphere Development Program | interstellar biosphere expansion initiative founded by Sol factions | Terraforming Program | Race for Sol
IDEA-642  BDP Ark Seed 1 | first interstellar biosphere seeding mission of the Terran Biosphere Development Program | Interstellar Mission | GGO Hegemony Period
IDEA-643  BDP Ark Seed 2 | second Ark Seed vessel launched in the first BDP deployment batch | Interstellar Mission | GGO Hegemony Period
IDEA-644  BDP Ark Seed 3 | third Ark Seed vessel of the initial BDP biosphere deployment wave | Interstellar Mission | GGO Hegemony Period
IDEA-645  BDP Ark Seed 4 | fourth Ark Seed vessel completing the first BDP deployment batch | Interstellar Mission | GGO Hegemony Period

IDEA-646  Retronationalist Entente | alliance of retronationalist states opposing GGO authority on Earth | Political Alliance | Second Modernity (Earth)
IDEA-647  Siege of the CoG | decisive military siege of the Center of Gravity megastructure during the Borders Rebellion | Historical Event | Second Modernity (Earth)
IDEA-648  Borders Rebellion | 105-year global war ending GGO rule on Earth | War | Second Modernity (Earth)
IDEA-649  Teutonian Resurgence | retronationalist cultural-political movement active during the Borders Rebellion | Political Movement | Second Modernity (Earth)
IDEA-650  Kellerschacht | subterranean GGO emergency installation later rediscovered during the Borders Rebellion | Location | GGO Hegemony Period
IDEA-651  Kellerschacht Emergency Depot | Engineering Group 0 strategic underground logistics reserve facility | Infrastructure | GGO Hegemony Period
IDEA-652  Kaiserwerke | industrial complex built above the Kellerschacht depot producing walker platforms | Industrial Organization | Second Modernity (Earth)
IDEA-653  KW-1 Werker | industrial walker platform derived from exoskeleton cores | Vehicle | Second Modernity (Earth)
IDEA-654  KW-2 Heber | heavy lifting walker platform used for logistics and reconstruction | Vehicle | Second Modernity (Earth)
IDEA-655  KW-6 Kämpfer | militarized combat walker platform used during the Borders Rebellion | Vehicle | Second Modernity (Earth)

IDEA-656  BDP Ark 43 | interstellar biosphere deployment mission to the Oka System | Interstellar Mission | GGO Hegemony Period
IDEA-657  BDP Ark 72 | late-generation pre-Contraction Ark biosphere deployment vessel | Interstellar Mission | GGO Hegemony Period
IDEA-658  Pre-Contraction Ark | class of Ark biosphere deployment vessels launched before the Great Contraction Event | Vehicle Class | GGO Hegemony Period

IDEA-659  Ice Ant Class Interplanetary Mining Hauler | nuclear-electric asteroid ice push-tug used for Mars water transport | Vehicle | Race for Sol
IDEA-660  Mars Ice Logistics Authority | Martian organization managing asteroid water imports | Organization | Race for Sol
IDEA-661  Mars Ice Capture Corridor | Mars orbital approach corridor for captured ice asteroid deliveries | Location | Race for Sol

IDEA-662  OPEV-1 Distant Dawn | crewed interplanetary exploration vessel for Titan and Enceladus launched from Moon; 5 units produced; paired with Mars return vehicle | Vehicle | Race for Sol
IDEA-663  Mars Return Vehicle | support spacecraft retrieving crews from outer planets missions | Vehicle | Race for Sol
IDEA-664  Armamento LatinMo Mobile Drone Strike Carrier | heavy military logistics vehicle deploying combined strike drones | Vehicle | Superpower Wars
IDEA-665  External Structural Maintenance Walker | megastructure exterior maintenance vehicle for CoG | Vehicle | GGO Hegemony Period
IDEA-666  CoG Outer Wall Exterior Maintenance Perimeter | dedicated external maintenance zone for CoG | Infrastructure | GGO Hegemony Period
IDEA-667  CoG Construction-Site Racing (Heritage) | informal illegal racing events at CoG construction sites, precursor to Ringleague Racing | Cultural Practice | GGO Hegemony Period
IDEA-668  GGO Engineering Group 9 – Vehicle Systems Division | post-3000 modular vehicle and infrastructure engineering division | Organization | GGO Hegemony Period
IDEA-669  GGO Circuit Racer-32 | standard-issue racing vehicle produced by GGO Engineering Group 8 for Ringleague multi-ring racing circuits | Vehicle | GGO Hegemony Period, 32nd Century
